Song_id,Title,Artist_name,Type,Album Link
S1,Spirales,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Spirales
S2,Lovesong from the Mountains,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Lovesong+from+the+Mountains
S3,Kindred Spirit,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Kindred+Spirit
S4,Temple of Silence,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Temple+of+Silence
S5,Hands Of Love,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Hands+Of+Love
S6,Escape from Gravity,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Escape+from+Gravity
S7,Sound of Invisible Waters,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Sound+of+Invisible+Waters
S8,Uno,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Uno
S9,East of the Full Moon,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/East+of+the+Full+Moon
S10,Illumination of the Heart,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Illumination+of+the+Heart
S11,Coucher de Lune,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Coucher+de+Lune
S12,Waves of Light,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Waves+of+Light
S13,Cloud Surfing,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Cloud+Surfing
S14,Koyasan,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Koyasan
S15,Four,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Four
S16,Vollmond Im Herbst,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Vollmond+Im+Herbst
S17,Language Of Silence,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Language+Of+Silence
S18,Ecstasy,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Ecstasy
S19,"Pearls (glittering, continuous flow)",Deuter,Meditation and relaxation ,"https://www.last.fm/music/Deuter/_/Pearls+(glittering,+continuous+flow)"
S20,Earth Shadow,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Earth+Shadow
S21,Sea and Silence,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Sea+and+Silence
S22,Healing Circle,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Healing+Circle
S23,Morning Light Silhouettes 1,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Morning+Light+Silhouettes+1
S24,Marfa Lights 2,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Marfa+Lights+2
S25,Dawn Shimmer,Deuter,Meditation and relaxation ,https://www.last.fm/music/Deuter/_/Dawn+Shimmer
